역,허브,거리(m),자전거 예상시간(분)
庄内,梅田,5647,too far
庄内,難波,9353,too far
庄内,天王寺,12183,too far
庄内,本町,7635,too far
庄内,京橋,8513,too far
JR塚口,梅田,8436,too far
JR塚口,難波,11434,too far
JR塚口,天王寺,14249,too far
JR塚口,本町,10126,too far
JR塚口,京橋,12138,too far
関大前,梅田,7667,too far
関大前,難波,11378,too far
関大前,天王寺,13985,too far
関大前,本町,9545,too far
関大前,京橋,9042,too far
崇禅寺,梅田,3436,21
崇禅寺,難波,6996,too far
崇禅寺,天王寺,9543,too far
崇禅寺,本町,5166,too far
崇禅寺,京橋,4853,29
新大阪,梅田,3467,22
新大阪,難波,7200,too far
新大阪,天王寺,9876,too far
新大阪,本町,5372,too far
新大阪,京橋,5596,too far
千船,梅田,4777,25
千船,難波,6990,too far
千船,天王寺,9719,too far
千船,本町,5985,too far
千船,京橋,8757,too far
心斎橋,梅田,3108,15
心斎橋,難波,674,2
心斎橋,天王寺,3479,20
心斎橋,本町,1160,6
心斎橋,京橋,4067,21
布施,梅田,7503,too far
布施,難波,5820,too far
布施,天王寺,5054,too far
布施,本町,6125,too far
布施,京橋,4045,24
南方,梅田,2607,20
南方,難波,6341,too far
南方,天王寺,9032,too far
南方,本町,4516,29
南方,京橋,4997,29
JR長居,梅田,10302,too far
JR長居,難波,6536,too far
JR長居,天王寺,3830,18
JR長居,本町,8325,too far
JR長居,京橋,9539,too far
美章園,梅田,7549,too far
美章園,難波,3993,22
美章園,天王寺,1226,7
美章園,本町,5566,too far
美章園,京橋,6306,too far
野田,梅田,2438,14
野田,難波,3221,20
野田,天王寺,5988,too far
野田,本町,2473,15
野田,京橋,5817,too far
岸辺,梅田,9279,too far
岸辺,難波,12629,too far
岸辺,天王寺,14880,too far
岸辺,本町,10852,too far
岸辺,京橋,9240,too far
新福島,梅田,1250,6
新福島,難波,3215,17
新福島,天王寺,6083,too far
新福島,本町,1826,12
新福島,京橋,4810,25
海老江,梅田,2200,11
海老江,難波,3812,20
海老江,天王寺,6626,too far
海老江,本町,2790,15
海老江,京橋,5913,too far
針中野,梅田,9938,too far
針中野,難波,6382,too far
針中野,天王寺,3540,19
針中野,本町,7960,too far
針中野,京橋,8326,too far
あびこ,梅田,11627,too far
あびこ,難波,7857,too far
あびこ,天王寺,5164,too far
あびこ,本町,9654,too far
あびこ,京橋,10834,too far
大阪天満宮,梅田,1686,10
大阪天満宮,難波,3252,19
大阪天満宮,天王寺,5646,too far
大阪天満宮,本町,1581,10
大阪天満宮,京橋,2350,15
守口,梅田,7046,too far
守口,難波,9355,too far
守口,天王寺,11018,too far
守口,本町,7869,too far
守口,京橋,5135,too far
阿倍野,梅田,7986,too far
阿倍野,難波,4284,25
阿倍野,天王寺,1434,7
阿倍野,本町,5993,too far
阿倍野,京橋,7088,too far
大阪港,梅田,7798,too far
大阪港,難波,6222,too far
大阪港,天王寺,7262,too far
大阪港,本町,7053,too far
大阪港,京橋,10487,too far
南巽,梅田,8422,too far
南巽,難波,5636,too far
南巽,天王寺,3680,19
南巽,本町,6645,too far
南巽,京橋,5814,too far
西田辺,梅田,9162,too far
西田辺,難波,5417,too far
西田辺,天王寺,2639,13
西田辺,本町,7175,too far
西田辺,京橋,8321,too far
梅田,梅田,215,2
梅田,難波,3562,17
梅田,天王寺,6348,too far
梅田,本町,1792,10
梅田,京橋,3954,23
西中島南方,梅田,2671,20
西中島南方,難波,6416,too far
西中島南方,天王寺,9118,too far
西中島南方,本町,4594,28
西中島南方,京橋,5111,too far
大阪,梅田,0,0
大阪,難波,3773,19
大阪,天王寺,6551,too far
大阪,本町,1993,12
大阪,京橋,3980,24
フェリーターミナル,梅田,10825,too far
フェリーターミナル,難波,8118,too far
フェリーターミナル,天王寺,7719,too far
フェリーターミナル,本町,9545,too far
フェリーターミナル,京橋,12595,too far
下新庄,梅田,5405,too far
下新庄,難波,8883,too far
下新庄,天王寺,11318,too far
下新庄,本町,7070,too far
下新庄,京橋,6117,too far
谷町九丁目,梅田,4371,24
谷町九丁目,難波,1415,8
谷町九丁目,天王寺,2370,14
谷町九丁目,本町,2423,15
谷町九丁目,京橋,3707,22
長田,梅田,9163,too far
長田,難波,8476,too far
長田,天王寺,8110,too far
長田,本町,8295,too far
長田,京橋,5193,too far
小路,梅田,7146,too far
小路,難波,5205,too far
小路,天王寺,4349,25
小路,本町,5649,too far
小路,京橋,3958,22
北巽,梅田,7713,too far
北巽,難波,5324,too far
北巽,天王寺,3924,21
北巽,本町,6061,too far
北巽,京橋,4815,25
コスモスクエア,梅田,10116,too far
コスモスクエア,難波,8508,too far
コスモスクエア,天王寺,9204,too far
コスモスクエア,本町,9408,too far
コスモスクエア,京橋,12831,too far
瑞光四丁目,梅田,7109,too far
瑞光四丁目,難波,10154,too far
瑞光四丁目,天王寺,12249,too far
瑞光四丁目,本町,8445,too far
瑞光四丁目,京橋,6515,too far
八尾南,梅田,14118,too far
八尾南,難波,10950,too far
八尾南,天王寺,8290,too far
八尾南,本町,12255,too far
八尾南,京橋,11481,too far
新森古市,梅田,5878,too far
新森古市,難波,7427,too far
新森古市,天王寺,8807,too far
新森古市,本町,6176,too far
新森古市,京橋,2991,18
東三国,梅田,4300,30
東三国,難波,8049,too far
東三国,天王寺,10737,too far
東三国,本町,6226,too far
東三国,京橋,6373,too far
本町,梅田,2292,12
本町,難波,1482,7
本町,天王寺,4287,25
本町,本町,429,2
本町,京橋,3842,21
門真南,梅田,8974,too far
門真南,難波,10008,too far
門真南,天王寺,10771,too far
門真南,本町,9035,too far
門真南,京橋,5576,too far
JR尼崎,梅田,6717,too far
JR尼崎,難波,9396,too far
JR尼崎,天王寺,12167,too far
JR尼崎,本町,8226,too far
JR尼崎,京橋,10606,too far
西大橋,梅田,3013,15
西大橋,難波,966,6
西大橋,天王寺,3811,24
西大橋,本町,1311,8
西大橋,京橋,4589,25
南田辺,梅田,9748,too far
南田辺,難波,6061,too far
南田辺,天王寺,3203,18
南田辺,本町,7756,too far
南田辺,京橋,8560,too far
鶴ケ丘,梅田,9622,too far
鶴ケ丘,難波,5880,too far
鶴ケ丘,天王寺,3090,17
鶴ケ丘,本町,7634,too far
鶴ケ丘,京橋,8713,too far
守口市,梅田,7046,too far
守口市,難波,9355,too far
守口市,天王寺,11018,too far
守口市,本町,7869,too far
守口市,京橋,5135,too far
今川,梅田,9047,too far
今川,難波,5491,too far
今川,天王寺,2661,12
今川,本町,7067,too far
今川,京橋,7546,too far
北田辺,梅田,8354,too far
北田辺,難波,4822,26
北田辺,天王寺,2029,10
北田辺,本町,6376,too far
北田辺,京橋,6905,too far
豊津,梅田,7005,too far
豊津,難波,10689,too far
豊津,天王寺,13270,too far
豊津,本町,8856,too far
豊津,京橋,8292,too far
大阪ビジネスパーク,梅田,3315,18
大阪ビジネスパーク,難波,3741,23
大阪ビジネスパーク,天王寺,5393,too far
大阪ビジネスパーク,本町,2688,15
大阪ビジネスパーク,京橋,809,5
上新庄,梅田,6307,too far
上新庄,難波,9563,too far
上新庄,天王寺,11822,too far
上新庄,本町,7797,too far
上新庄,京橋,6282,too far
千鳥橋,梅田,3972,18
千鳥橋,難波,4277,27
千鳥橋,天王寺,6736,too far
千鳥橋,本町,3995,22
千鳥橋,京橋,7414,too far
花園町,梅田,6069,too far
花園町,難波,2320,12
花園町,天王寺,1423,9
花園町,本町,4154,24
花園町,京橋,6313,too far
関目成育,梅田,4797,29
関目成育,難波,6504,too far
関目成育,天王寺,8108,too far
関目成育,本町,5157,too far
関目成育,京橋,2226,14
西梅田,梅田,292,2
西梅田,難波,3489,16
西梅田,天王寺,6280,too far
西梅田,本町,1725,9
西梅田,京橋,3956,22
徳庵,梅田,7886,too far
徳庵,難波,7889,too far
徳庵,天王寺,8151,too far
徳庵,本町,7341,too far
徳庵,京橋,3945,19
河内小阪,梅田,8895,too far
河内小阪,難波,7448,too far
河内小阪,天王寺,6575,too far
河内小阪,本町,7660,too far
河内小阪,京橋,5155,too far
文の里,梅田,7672,too far
文の里,難波,4003,24
文の里,天王寺,1135,7
文の里,本町,5679,too far
文の里,京橋,6713,too far
東梅田,梅田,373,2
東梅田,難波,3570,18
東梅田,天王寺,6300,too far
東梅田,本町,1751,8
東梅田,京橋,3623,21
出戸,梅田,12208,too far
出戸,難波,8965,too far
出戸,天王寺,6288,too far
出戸,本町,10315,too far
出戸,京橋,9792,too far
井高野,梅田,7949,too far
井高野,難波,11049,too far
井高野,天王寺,13151,too far
井高野,本町,9331,too far
井高野,京橋,7404,too far
三国,梅田,4067,23
三国,難波,7802,too far
三国,天王寺,10614,too far
三国,本町,6058,too far
三国,京橋,6989,too far
長原,梅田,13225,too far
長原,難波,10003,too far
長原,天王寺,7322,too far
長原,本町,11342,too far
長原,京橋,10712,too far
相川,梅田,7263,too far
相川,難波,10558,too far
相川,天王寺,12814,too far
相川,本町,8787,too far
相川,京橋,7232,too far
長居,梅田,9872,too far
長居,難波,6107,too far
長居,天王寺,3399,17
長居,本町,7893,too far
長居,京橋,9130,too far
河内天美,梅田,13390,too far
河内天美,難波,9694,too far
河内天美,天王寺,6844,too far
河内天美,本町,11398,too far
河内天美,京橋,11960,too far
南港東,梅田,9880,too far
南港東,難波,7383,too far
南港東,天王寺,7333,too far
南港東,本町,8701,too far
南港東,京橋,11865,too far
吹田,梅田,6596,too far
吹田,難波,10190,too far
吹田,天王寺,12688,too far
吹田,本町,8362,too far
吹田,京橋,7535,too far
朝潮橋,梅田,6331,too far
朝潮橋,難波,4771,26
朝潮橋,天王寺,6134,too far
朝潮橋,本町,5534,too far
朝潮橋,京橋,8975,too far
夢洲駅,梅田,11246,too far
夢洲駅,難波,10276,too far
夢洲駅,天王寺,11321,too far
夢洲駅,本町,10892,too far
夢洲駅,京橋,14383,too far
JR淡路,梅田,4777,23
JR淡路,難波,8206,too far
JR淡路,天王寺,10628,too far
JR淡路,本町,6398,too far
JR淡路,京橋,5459,too far
玉造,梅田,4571,27
玉造,難波,2972,16
玉造,天王寺,3619,21
玉造,本町,3045,16
玉造,京橋,2306,12
天満橋,梅田,2315,14
天満橋,難波,2836,17
天満橋,天王寺,5018,too far
天満橋,本町,1484,8
天満橋,京橋,2029,10
ポートタウン東,梅田,10034,too far
ポートタウン東,難波,7728,too far
ポートタウン東,天王寺,7846,too far
ポートタウン東,本町,8958,too far
ポートタウン東,京橋,12197,too far
JR難波,梅田,4052,18
JR難波,難波,529,3
JR難波,天王寺,2828,17
JR難波,本町,2202,10
JR難波,京橋,5011,too far
衣摺加美北,梅田,9635,too far
衣摺加美北,難波,6988,too far
衣摺加美北,天王寺,4990,27
衣摺加美北,本町,7923,too far
衣摺加美北,京橋,6707,too far
清水,梅田,6309,too far
清水,難波,8118,too far
清水,天王寺,9576,too far
清水,本町,6788,too far
清水,京橋,3731,22
トレードセンター前,梅田,10443,too far
トレードセンター前,難波,8704,too far
トレードセンター前,天王寺,9265,too far
トレードセンター前,本町,9671,too far
トレードセンター前,京橋,13068,too far
九条,梅田,3668,21
九条,難波,2540,16
九条,天王寺,4926,29
九条,本町,2801,15
九条,京橋,6286,too far
淡路,梅田,4529,22
淡路,難波,8007,too far
淡路,天王寺,10468,too far
淡路,本町,6190,too far
淡路,京橋,5406,too far
深江橋,梅田,6245,too far
深江橋,難波,5424,too far
深江橋,天王寺,5561,too far
深江橋,本町,5208,too far
深江橋,京橋,2458,15
野田阪神,梅田,2136,10
野田阪神,難波,3660,20
野田阪神,天王寺,6477,too far
野田阪神,本町,2645,15
野田阪神,京橋,5798,too far
御幣島,梅田,3867,21
御幣島,難波,6367,too far
御幣島,天王寺,9167,too far
御幣島,本町,5207,too far
御幣島,京橋,7843,too far
谷町六丁目,梅田,3520,20
谷町六丁目,難波,1759,9
谷町六丁目,天王寺,3438,16
谷町六丁目,本町,1748,9
谷町六丁目,京橋,2780,15
肥後橋,梅田,1204,6
肥後橋,難波,2575,12
肥後橋,天王寺,5383,too far
肥後橋,本町,871,5
肥後橋,京橋,3850,19
大阪ドーム前,梅田,3908,23
大阪ドーム前,難波,1988,12
大阪ドーム前,天王寺,4232,25
大阪ドーム前,本町,2675,16
大阪ドーム前,京橋,6066,too far
岸里,梅田,7601,too far
岸里,難波,3872,17
岸里,天王寺,2059,13
岸里,本町,5705,too far
岸里,京橋,7736,too far
扇町,梅田,1373,10
扇町,難波,4016,22
扇町,天王寺,6501,too far
扇町,本町,2233,13
扇町,京橋,2724,18
大阪上本町,梅田,4690,26
大阪上本町,難波,1926,10
大阪上本町,天王寺,2360,14
大阪上本町,本町,2800,17
大阪上本町,京橋,3544,20
桜川,梅田,4069,22
桜川,難波,1122,9
桜川,天王寺,3285,18
桜川,本町,2416,14
桜川,京橋,5514,too far
新深江,梅田,6467,too far
新深江,難波,4846,24
新深江,天王寺,4446,27
新深江,本町,5074,too far
新深江,京橋,3179,19
平野,梅田,9458,too far
平野,難波,6330,too far
平野,天王寺,3877,18
平野,本町,7585,too far
平野,京橋,7130,too far
今里,梅田,5684,too far
今里,難波,3921,19
今里,天王寺,3792,21
今里,本町,4189,19
今里,京橋,2813,15
天下茶屋,梅田,7177,too far
天下茶屋,難波,3420,16
天下茶屋,天王寺,1550,9
天下茶屋,本町,5253,too far
天下茶屋,京橋,7203,too far
四天王寺前夕陽丘,梅田,5187,too far
四天王寺前夕陽丘,難波,1735,11
四天王寺前夕陽丘,天王寺,1452,7
四天王寺前夕陽丘,本町,3201,18
四天王寺前夕陽丘,京橋,4538,22
住之江公園,梅田,10590,too far
住之江公園,難波,7072,too far
住之江公園,天王寺,5445,too far
住之江公園,本町,8848,too far
住之江公園,京橋,11166,too far
大国町,梅田,5182,too far
大国町,難波,1438,9
大国町,天王寺,1829,10
大国町,本町,3270,19
大国町,京橋,5619,too far
東淀川,梅田,4184,26
東淀川,難波,7880,too far
東淀川,天王寺,10508,too far
東淀川,本町,6047,too far
東淀川,京橋,5940,too far
弁天町,梅田,4750,28
弁天町,難波,3483,21
弁天町,天王寺,5433,too far
弁天町,本町,3983,21
弁天町,京橋,7459,too far
高井田,梅田,7502,too far
高井田,難波,6728,too far
高井田,天王寺,6579,too far
高井田,本町,6543,too far
