id,line,room_type,station,rent_price
1,KT,1R,大阪上本町,4.3万円
2,KT,1R,鶴橋,3.7万円
3,KT,1R,今里,2.9万円
4,KT,1R,布施,3.4万円
5,KT,1R,俊徳道,3.0万円
6,KT,1R,長瀬,2.8万円
7,KT,1R,弥刀,2.7万円
8,KT,1R,久宝寺口,3.2万円
9,KT,1R,近鉄八尾,3.3万円
10,KT,1R,河内山本,3.3万円
11,KT,1R,高安,3.2万円
12,KT,1R,恩智,3.4万円
13,KT,1R,法善寺,3.2万円
14,KT,1R,堅下,3.1万円
15,KT,1R,安堂,2.9万円
16,KT,1R,河内国分,2.7万円
17,KT,1R,大阪教育大前,2.5万円
18,KT,1R,関屋,1.5万円
19,KT,1R,二上,3.1万円
20,KT,1R,近鉄下田,3.9万円
21,KT,1R,五位堂,3.8万円
22,KT,1R,築山,3.5万円
23,KT,1R,大和高田,3.5万円
24,KT,1R,松塚,3.1万円
25,KT,1R,真菅,3.2万円
26,KT,1R,大和八木,3.1万円
27,KT,1R,耳成,3.1万円
28,KT,1R,大福,3.5万円
29,KT,1R,桜井,3.5万円
30,KT,1R,大和朝倉,2.5万円
31,KT,1R,長谷寺,2.5万円
32,KT,1R,榛原,2.5万円
33,KT,1R,室生口大野,2.5万円
34,KT,1R,三本松,4.0万円
35,KT,1R,大阪上本町,4.3万円
36,KT,1R,鶴橋,3.7万円
37,KT,1R,今里,2.9万円
38,KT,1R,布施,3.4万円
39,KT,1R,河内永和,3.3万円
40,KT,1R,河内小阪,3.0万円
41,KT,1R,八戸ノ里,2.9万円
42,KT,1R,若江岩田,2.8万円
43,KT,1R,河内花園,2.8万円
44,KT,1R,東花園,2.9万円
45,KT,1R,瓢箪山,2.9万円
46,KT,1R,枚岡,3.0万円
47,KT,1R,額田,3.2万円
48,KT,1R,石切,3.2万円
49,KT,1R,生駒,2.8万円
50,KT,1R,東生駒,3.2万円
51,KT,1R,富雄,3.2万円
52,KT,1R,学園前,3.1万円
53,KT,1R,菖蒲池,2.9万円
54,KT,1R,大和西大寺,3.4万円
55,KT,1R,新大宮,4.1万円
56,KT,1R,近鉄奈良,3.8万円
57,KT,1R,大阪阿部野橋,4.9万円
58,KT,1R,河堀口,3.8万円
59,KT,1R,北田辺,3.7万円
60,KT,1R,今川,2.7万円
