Number,Japanese,Lat,Lng
1,関大前,34.7709203,135.5061814
2,豊津,34.76457,135.508945
3,吹田,34.7593593,135.5164769
4,下新庄,34.7469144,135.5199444
5,柴島,34.7283317,135.5115676
6,相川,34.7589997,135.5358099
7,上新庄,34.7503307,135.5330233
8,淡路,34.7393654,135.5169941
9,崇禅寺,34.7310707,135.5102257
10,南方,34.7257421,135.4995491
11,服部天神,34.7629846,135.4751594
12,庄内,34.7502996,135.4751169
13,三国,34.7374801,135.4830261
14,塚口,34.7527642,135.4158933
15,JR塚口,34.7509535,135.4249387
16,園田,34.7519129,135.4480869
17,神崎川,34.7321909,135.473216
18,十三,34.720213,135.48206
20,出来島,34.7069633,135.4370367
21,福,34.6998238,135.4426068
22,伝法,34.689105,135.451703
23,千鳥橋,34.685327,135.457841
24,尼崎,34.7327113,135.4057914
25,大物,34.7163918,135.4263904
26,杭瀬,34.7183709,135.4386557
27,姫島,34.7044018,135.4581754
28,千船,34.7124629,135.4451191
29,淀川,34.77273650873435,135.5489815159462
30,桜島,31.583333,130.65
31,野田,34.6890175,135.4749014
32,天満,34.6936088,135.5193039
33,加島,34.7298755,135.4580466
34,海老江,34.69521599999999,135.4735743
35,御幣島,34.712769,135.455535
36,北新地,34.6983538,135.4969606
37,大阪天満宮,34.6960576,135.5126556
38,大阪城北詰,34.6940361,135.5261871
39,徳庵,34.6924404,135.5813418
40,鴻池新田,34.698857,135.597579
41,新福島,34.6951047,135.485644
42,新加美,34.6272382,135.5681418
43,衣摺加美北,34.638525,135.567037
44,JR長瀬,34.6497274,135.5702411
45,南吹田,34.749348,135.5051605
46,JR淡路,34.7406994,135.5198264
47,城北公園通,34.7235075,135.5306364
48,JR野江,34.7068599,135.5413311
49,岸辺,34.7770465,135.5415606
50,東淀川,34.7395007,135.5041997
51,JR吹田,34.7630033,135.5238259
52,加美,34.62692,135.566667
53,平野,34.6308333,135.5516791
54,東部市場前,34.6381438,135.5375896
55,JR難波,34.6660463,135.4952492
56,杉本町,34.5938378,135.5029215
57,我孫子町,34.5992055,135.5075174
58,鶴ケ丘,34.6176542,135.516735
59,JR長居,34.610846,135.5125617
60,南田辺,34.6179101,135.5240193
61,美章園,34.638556,135.523726
62,守口市,34.7361019,135.5613039
63,河内天美,34.5864643,135.5351513
64,矢田,34.6058937,135.5328929
65,針中野,34.6191559,135.5352203
66,今川,34.6263921,135.5309565
67,北田辺,34.6323861,135.5288022
68,河堀口,34.6411489,135.5240721
69,長瀬,34.6496953,135.5776652
70,弥刀,34.6408315,135.5839988
71,八戸ノ里,34.6638059,135.5893415
72,河内小阪,34.6640549,135.5812755
73,今里,34.6689903,135.5429092
