역,허브,거리(m),소요시간(분)
庄内,梅田,5647,16
庄内,難波,9353,too long
庄内,天王寺,12183,too far
庄内,本町,7635,too long
庄内,京橋,8513,too long
JR塚口,梅田,8436,17
JR塚口,難波,11434,too far
JR塚口,天王寺,14249,too far
JR塚口,本町,10126,too far
JR塚口,京橋,12138,too far
関大前,梅田,7667,too long
関大前,難波,11378,too far
関大前,天王寺,13985,too far
関大前,本町,9545,too long
関大前,京橋,9042,too long
崇禅寺,梅田,3436,15
崇禅寺,難波,6996,too long
崇禅寺,天王寺,9543,too long
崇禅寺,本町,5166,19
崇禅寺,京橋,4853,too long
新大阪,梅田,3467,6
新大阪,難波,7200,19
新大阪,天王寺,9876,too long
新大阪,本町,5372,11
新大阪,京橋,5596,20
千船,梅田,4777,16
千船,難波,6990,too long
千船,天王寺,9719,too long
千船,本町,5985,too long
千船,京橋,8757,too long
心斎橋,梅田,3108,6
心斎橋,難波,674,5
心斎橋,天王寺,3479,9
心斎橋,本町,1160,1
心斎橋,京橋,4067,12
布施,梅田,7503,too long
布施,難波,5820,10
布施,天王寺,5054,15
布施,本町,6125,too long
布施,京橋,4045,17
南方,梅田,2607,10
南方,難波,6341,too long
南方,天王寺,9032,too long
南方,本町,4516,15
南方,京橋,4997,too long
JR長居,梅田,10302,too far
JR長居,難波,6536,16
JR長居,天王寺,3830,6
JR長居,本町,8325,17
JR長居,京橋,9539,too long
美章園,梅田,7549,too long
美章園,難波,3993,too long
美章園,天王寺,1226,2
美章園,本町,5566,too long
美章園,京橋,6306,too long
野田,梅田,2438,11
野田,難波,3221,16
野田,天王寺,5988,too long
野田,本町,2473,13
野田,京橋,5817,17
岸辺,梅田,9279,20
岸辺,難波,12629,too far
岸辺,天王寺,14880,too far
岸辺,本町,10852,too far
岸辺,京橋,9240,too long
新福島,梅田,1250,17
新福島,難波,3215,too long
新福島,天王寺,6083,too long
新福島,本町,1826,too long
新福島,京橋,4810,9
海老江,梅田,2200,16
海老江,難波,3812,17
海老江,天王寺,6626,too long
海老江,本町,2790,14
海老江,京橋,5913,11
針中野,梅田,9938,too long
針中野,難波,6382,too long
針中野,天王寺,3540,19
針中野,本町,7960,too long
針中野,京橋,8326,too long
あびこ,梅田,11627,too far
あびこ,難波,7857,19
あびこ,天王寺,5164,9
あびこ,本町,9654,20
あびこ,京橋,10834,too far
大阪天満宮,梅田,1686,13
大阪天満宮,難波,3252,19
大阪天満宮,天王寺,5646,17
大阪天満宮,本町,1581,17
大阪天満宮,京橋,2350,4
守口,梅田,7046,20
守口,難波,9355,too long
守口,天王寺,11018,too far
守口,本町,7869,too long
守口,京橋,5135,too long
阿倍野,梅田,7986,20
阿倍野,難波,4284,20
阿倍野,天王寺,1434,1
阿倍野,本町,5993,16
阿倍野,京橋,7088,too long
大阪港,梅田,7798,too long
大阪港,難波,6222,too long
大阪港,天王寺,7262,too long
大阪港,本町,7053,12
大阪港,京橋,10487,too far
南巽,梅田,8422,too long
南巽,難波,5636,19
南巽,天王寺,3680,too long
南巽,本町,6645,too long
